,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_235,0.097076325,53734.51889,103348.8596,176708.0476,,,,,
Run_236,0.097076325,53734.51888,103078.7072,175525.1256,,,,,
Run_237,0.043985283,31654.70614,70133.84927,670319.1194,,,,,
Run_238,0.097076325,53734.51888,103078.7072,175525.1256,,,,,
Run_239,0.112267556,59723.24393,26380.04797,6256.169132,,,,,
Run_240,0.097076325,53734.51888,103078.7072,175525.1256,,,,,
Run_241,0.000844505,3128.910572,17936.18426,286992.5166,,,,,
Run_242,0.000812625,3118.383454,13850.13331,244240.7442,,,,,
Run_243,0.000844505,3128.910516,17838.11824,286562.8298,,,,,
Run_244,0.000844505,3128.910581,17936.8987,286998.7006,,,,,
Run_245,0.000844505,3128.910572,17936.18426,286992.5166,,,,,
Run_246,0.000678378,3070.403917,11500.47943,287256.631,,,,,
Run_247,0.000776638,3096.114513,11986.79778,270895.6525,,,,,
Run_248,0.000771953,3137.601044,84186.86041,949476.4478,,,,,
Run_249,0.000667279,3088.749538,21491.63547,652670.4446,,,,,
Run_250,0.00066496,3088.564669,15114.23711,510706.4203,,,,,
Run_251,0.00066496,3088.564615,14918.90122,508856.5674,,,,,
Run_252,0.000664961,3088.564656,15114.15701,510705.2301,,,,,
Run_253,0.000679632,3089.72945,23558.47278,510645.7057,,,,,
Run_254,0.000735145,3134.678008,31003.48566,721017.5568,,,,,
Run_255,0.00063994,3049.149065,7140.025428,232252.7655,,,,,
Run_256,0.000664961,3088.564656,15114.15701,510705.2301,,,,,
Run_257,0.002373091,3903.076832,8646692.855,65441683.68,,,,,
Run_258,0.002551287,3918.770003,986978615.6,3183983757,,,,,
Run_259,0.002373221,3903.128757,8787654.663,65868577.94,,,,,
Run_260,0.00237297,3902.988943,3592307.638,41278554.5,,,,,
Run_261,0.002373091,3903.076832,8646692.855,65441683.68,,,,,
Run_262,0.002360002,3902.950956,8145589.214,65448058.01,,,,,
Run_263,0.001270914,3458.501425,943183.1932,15113618.02,,,,,
Run_264,0.002373091,3903.076832,8646692.855,65441683.68,,,,,
Run_265,0.001269049,3458.485741,905651.6743,15186064.78,,,,,
Run_266,0.001290291,3458.98354,41178217.47,331488752.1,,,,,
Run_267,0.001293039,3460.459445,89348891.39,548612458.7,,,,,
Run_268,0.001292243,3460.181484,89315457.14,548441384.6,,,,,
Run_269,0.00129346,3460.245283,92281961.35,548264799.5,,,,,
Run_270,0.002546972,3920.912273,965336106.5,3211801163,,,,,
Run_271,0.001292243,3460.181484,89315457.14,548441384.6,,,,,
Run_272,0.001292243,3460.181484,89315457.14,548441384.6,,,,,
Run_273,1519.527947,58296.28905,334.5454311,7582.559576,,,,,
Run_274,7920.676436,51704.55979,118.5931476,2464.392763,,,,,
