,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,
Run_268,0.001292238,3460.178351,89143378.15,548462617,,,,,
Run_269,0.001293429,3460.225376,91189249.62,548400626.8,,,,,
Run_270,0.002546106,3920.347116,934184434.3,3215290530,,,,,
Run_271,0.001292213,3460.162375,88265676.73,548570399.7,,,,,
Run_272,0.001292213,3460.162375,88265676.73,548570399.7,,,,,
Run_273,467824.2084,4520.106344,1492.510837,61905.06529,,,,,
Run_274,466545.6313,3927.255854,659.8059731,24774.19002,,,,,
Run_275,467824.2084,4520.106344,1498.286902,62612.25574,,,,,
Run_276,467824.2084,4520.106344,1506.272269,63588.581,,,,,
Run_277,467824.2093,4520.10518,1492.510704,61905.06524,,,,,
Run_278,467225.9839,4390.843694,1338.242088,99104.12735,,,,,
Run_279,834594.3782,6055.881766,3365.641275,176914.3033,,,,,
Run_280,467824.2084,4520.106344,1492.510837,61905.06529,,,,,
Run_281,833346.9989,5634.615574,2875.125771,267372.0651,,,,,
Run_282,832091.0577,4778.905189,1530.470565,59182.01189,,,,,
Run_283,832091.0577,4778.905189,1524.979571,58474.30005,,,,,
Run_284,832091.0352,4778.918151,1532.329576,59420.26347,,,,,
Run_285,832092.1258,4779.423919,1533.367738,59407.71631,,,,,
Run_286,466545.2554,3927.105842,664.3440475,25396.30559,,,,,
Run_287,832091.0577,4778.905189,1532.318591,59420.15555,,,,,
Run_288,832091.0577,4778.905189,1532.318591,59420.15555,,,,,
Run_289,0.002393574,3781.614329,2793518759,7662136131,,,,,
Run_290,0.001922253,3702.305367,79258717.37,259953648.2,,,,,
Run_291,0.002401918,3784.141887,2793520925,7662142250,,,,,
Run_292,0.002391692,3781.025392,2793517762,7662133290,,,,,
Run_293,0.002393632,3781.647482,2795062858,7661765826,,,,,
Run_294,0.002222244,3766.944286,2620326229,7767156995,,,,,
Run_295,0.003402831,4073.351412,6632180510,15583629056,,,,,
Run_296,0.002393574,3781.614329,2793518759,7662136131,,,,,
Run_297,0.003148751,4055.779721,6303565645,15816465857,,,,,
Run_298,0.002579319,3908.231785,171539559.2,488117927.9,,,,,
Run_299,0.002580001,3908.442728,171539857.5,488118557.3,,,,,
Run_300,0.002579946,3908.422344,171162986.3,488142015.8,,,,,
Run_301,0.00260068,3908.982091,188248873.8,487692699.4,,,,,
Run_302,0.001913438,3702.133266,71821350.48,260089124.3,,,,,
Run_303,0.002579961,3908.430668,171539850.8,488118542.2,,,,,
