,Surface Water (Total number),Flowing Water (Total number),Stagnant Water (Total number),Sediment (Total number),,,,,,
Run_368,0.112582186,59823.73889,2925.264232,3328.79874,,,,,,
Run_369,0.000783078,3097.82021,28855.25404,557684.5679,,,,,,
Run_370,0.000737443,3083.125027,16060.0461,394001.1094,,,,,,
Run_371,0.000783078,3097.820209,28855.20864,557684.0673,,,,,,
Run_372,0.000783078,3097.820209,28855.21524,557684.1401,,,,,,
Run_373,0.000783078,3097.82021,28855.25404,557684.5679,,,,,,
Run_374,0.000773581,3094.808122,27906.98653,557734.814,,,,,,
Run_375,0.000861519,3133.696759,51026.37567,616919.47,,,,,,
Run_376,0.000683025,3089.980488,180535.576,2230133.389,,,,,,
Run_377,0.000772827,3137.613761,485060.439,3748821.43,,,,,,
Run_378,0.000760508,3136.645601,173325.458,1906499.899,,,,,,
Run_379,0.000760508,3136.6456,173325.4551,1906499.889,,,,,,
Run_380,0.000760508,3136.64559,173325.4467,1906499.82,,,,,,
Run_381,0.000763133,3136.850151,181007.1227,1906402.132,,,,,,
Run_382,0.000676441,3089.463701,65782.33143,1214771.747,,,,,,
Run_383,0.0007804,3106.856967,25199.171,425998.1138,,,,,,
Run_384,0.000760508,3136.64559,173325.4467,1906499.82,,,,,,
Run_385,151737.3535,3630.558775,342.594459,24891.54719,,,,,,
Run_386,151379.5744,3999.723954,394.5919786,50155.8227,,,,,,
Run_387,151737.3535,3630.558775,349.6717133,26408.33321,,,,,,
Run_388,151737.3535,3630.558775,329.4207936,22028.83504,,,,,,
Run_389,151737.3535,3630.558775,342.594459,24891.54719,,,,,,
Run_390,0.000872851,3178.647915,589414.1742,3223057.535,,,,,,
Run_391,103104.4959,3375.452634,164.0042615,12015.73915,,,,,,
Run_392,21.49634901,59700.34413,432.3705165,3047.215184,,,,,,
Run_393,0.111386658,59438.57685,50306.13373,5799.344828,,,,,,
Run_394,0.112205601,59678.08545,35483.95871,5468.706579,,,,,,
Run_395,0.112205601,59678.08546,35822.08757,6171.040344,,,,,,
